date,open,high,low,close,volume
20200109 183000,1.30493,1.30541,1.30334,1.30488,13601
20200109 193000,1.30488,1.30692,1.30436,1.30685,13868
20200109 203000,1.30685,1.30688,1.30608,1.30616,7450
20200109 213000,1.30616,1.30641,1.30551,1.30554,17277
20200109 223000,1.30554,1.30595,1.30541,1.30572,6730
20200109 233000,1.30572,1.30675,1.3057,1.30664,6206
20200110 003000,1.30664,1.30683,1.30626,1.30676,1837
20200110 013000,1.30676,1.30689,1.30643,1.30685,857
20200110 023000,1.30685,1.30713,1.3067,1.30696,3475
20200110 033000,1.30696,1.30727,1.3066,1.30683,4528
20200110 043000,1.30683,1.30696,1.30599,1.30637,3323
20200110 053000,1.30637,1.30669,1.30605,1.30659,2506
20200110 063000,1.30659,1.3069,1.30655,1.30686,1581
20200110 073000,1.30686,1.30821,1.30665,1.30765,3540
20200110 083000,1.30765,1.30836,1.30729,1.30824,3164
20200110 093000,1.30824,1.30917,1.30805,1.30848,3902
20200110 103000,1.30848,1.30872,1.30555,1.30598,10239
20200110 113000,1.30598,1.30719,1.30484,1.30667,17968
20200110 123000,1.30667,1.30888,1.30511,1.30679,27652
20200110 133000,1.30679,1.30728,1.30505,1.30564,19711
20200110 143000,1.30564,1.30807,1.30541,1.30734,13995
20200110 153000,1.30734,1.30884,1.30717,1.30844,11606
20200110 163000,1.30844,1.30974,1.30648,1.30698,23628
20200110 173000,1.30698,1.30732,1.30559,1.3065,19943
20200110 183000,1.3065,1.30781,1.30571,1.30611,19432
20200110 193000,1.30611,1.30625,1.30425,1.30588,15859
20200110 203000,1.30588,1.30699,1.3052,1.30616,11320
20200110 213000,1.30616,1.30638,1.30543,1.30553,6568
20200110 223000,1.30553,1.30631,1.30536,1.30621,6490
20200110 233000,1.30621,1.30625,1.30537,1.30558,6316
20200111 003000,1.30558,1.30674,1.3054,1.30634,4388
20200112 223000,1.30634,1.30634,1.30199,1.30278,45
20200112 233000,1.30278,1.30311,1.3025,1.30292,49
20200113 003000,1.30292,1.30387,1.30282,1.30359,378
20200113 013000,1.30359,1.30437,1.30336,1.30372,1722
20200113 023000,1.30372,1.30447,1.30341,1.30437,3027
20200113 033000,1.30437,1.30452,1.30362,1.30373,3103
20200113 043000,1.30373,1.30393,1.30324,1.30393,3664
20200113 053000,1.30393,1.30395,1.30332,1.30346,2899
20200113 063000,1.30346,1.30402,1.30313,1.30393,3077
20200113 073000,1.30393,1.30415,1.30362,1.30363,3008
20200113 083000,1.30363,1.30364,1.30256,1.30327,3495
20200113 093000,1.30327,1.30331,1.3022,1.30275,3979
20200113 103000,1.30275,1.30276,1.29952,1.30013,17057
20200113 113000,1.30013,1.3008,1.29853,1.30017,17731
20200113 123000,1.30017,1.30082,1.29655,1.29728,25371
20200113 133000,1.29728,1.29943,1.29613,1.29845,15995
20200113 143000,1.29845,1.29892,1.29653,1.29653,14152
20200113 153000,1.29653,1.29799,1.29612,1.29763,14049
20200113 163000,1.29763,1.29927,1.29709,1.29844,17189
20200113 173000,1.29844,1.29991,1.29811,1.2995,22204
20200113 183000,1.2995,1.2995,1.29754,1.29786,21956
20200113 193000,1.29786,1.2991,1.29753,1.29834,13104
20200113 203000,1.29834,1.29976,1.2979,1.29954,9122
20200113 213000,1.29954,1.29975,1.29903,1.29963,7215
20200113 223000,1.29963,1.29966,1.29941,1.29958,2301
